Place,Points,Percentage of first place,Percentage of previous place (n-1),year_from,year_to,scoring_system
1,25,100.00%,100.00%,2022,2022,From 2022 to 2022
2,18,72.00%,72.00%,2022,2022,From 2022 to 2022
3,15,60.00%,83.00%,2022,2022,From 2022 to 2022
4,12,48.00%,80.00%,2022,2022,From 2022 to 2022
5,10,40.00%,83.00%,2022,2022,From 2022 to 2022
6,8,32.00%,80.00%,2022,2022,From 2022 to 2022
7,6,24.00%,75.00%,2022,2022,From 2022 to 2022
8,4,16.00%,67.00%,2022,2022,From 2022 to 2022
9,2,8.00%,50.00%,2022,2022,From 2022 to 2022
10,1,4.00%,50.00%,2022,2022,From 2022 to 2022
1,25,100.00%,100.00%,2021,2021,From 2021 to 2021
2,18,72.00%,72.00%,2021,2021,From 2021 to 2021
3,15,60.00%,83.00%,2021,2021,From 2021 to 2021
4,12,48.00%,80.00%,2021,2021,From 2021 to 2021
5,10,40.00%,83.00%,2021,2021,From 2021 to 2021
6,8,32.00%,80.00%,2021,2021,From 2021 to 2021
7,6,24.00%,75.00%,2021,2021,From 2021 to 2021
8,4,16.00%,67.00%,2021,2021,From 2021 to 2021
9,2,8.00%,50.00%,2021,2021,From 2021 to 2021
10,1,4.00%,50.00%,2021,2021,From 2021 to 2021
1,25,100.00%,100.00%,2019,2020,From 2019 to 2020
2,18,72.00%,72.00%,2019,2020,From 2019 to 2020
3,15,60.00%,83.00%,2019,2020,From 2019 to 2020
4,12,48.00%,80.00%,2019,2020,From 2019 to 2020
5,10,40.00%,83.00%,2019,2020,From 2019 to 2020
6,8,32.00%,80.00%,2019,2020,From 2019 to 2020
7,6,24.00%,75.00%,2019,2020,From 2019 to 2020
8,4,16.00%,67.00%,2019,2020,From 2019 to 2020
9,2,8.00%,50.00%,2019,2020,From 2019 to 2020
10,1,4.00%,50.00%,2019,2020,From 2019 to 2020
1,25,100.00%,100.00%,2015,2018,From 2015 to 2018
2,18,72.00%,72.00%,2015,2018,From 2015 to 2018
3,15,60.00%,83.00%,2015,2018,From 2015 to 2018
4,12,48.00%,80.00%,2015,2018,From 2015 to 2018
5,10,40.00%,83.00%,2015,2018,From 2015 to 2018
6,8,32.00%,80.00%,2015,2018,From 2015 to 2018
7,6,24.00%,75.00%,2015,2018,From 2015 to 2018
8,4,16.00%,67.00%,2015,2018,From 2015 to 2018
9,2,8.00%,50.00%,2015,2018,From 2015 to 2018
10,1,4.00%,50.00%,2015,2018,From 2015 to 2018
1,25,100.00%,100.00%,2014,2014,From 2014 to 2014
2,18,72.00%,72.00%,2014,2014,From 2014 to 2014
3,15,60.00%,83.00%,2014,2014,From 2014 to 2014
4,12,48.00%,80.00%,2014,2014,From 2014 to 2014
5,10,40.00%,83.00%,2014,2014,From 2014 to 2014
6,8,32.00%,80.00%,2014,2014,From 2014 to 2014
7,6,24.00%,75.00%,2014,2014,From 2014 to 2014
8,4,16.00%,67.00%,2014,2014,From 2014 to 2014
9,2,8.00%,50.00%,2014,2014,From 2014 to 2014
10,1,4.00%,50.00%,2014,2014,From 2014 to 2014
1,25,100.00%,100.00%,2010,2013,From 2010 to 2013
2,18,72.00%,72.00%,2010,2013,From 2010 to 2013
3,15,60.00%,83.00%,2010,2013,From 2010 to 2013
4,12,48.00%,80.00%,2010,2013,From 2010 to 2013
5,10,40.00%,83.00%,2010,2013,From 2010 to 2013
6,8,32.00%,80.00%,2010,2013,From 2010 to 2013
7,6,24.00%,75.00%,2010,2013,From 2010 to 2013
8,4,16.00%,67.00%,2010,2013,From 2010 to 2013
9,2,8.00%,50.00%,2010,2013,From 2010 to 2013
10,1,4.00%,50.00%,2010,2013,From 2010 to 2013
1,10,100.00%,100.00%,2003,2009,From 2003 to 2009
2,8,80.00%,80.00%,2003,2009,From 2003 to 2009
3,6,60.00%,75.00%,2003,2009,From 2003 to 2009
4,5,50.00%,83.00%,2003,2009,From 2003 to 2009
5,4,40.00%,80.00%,2003,2009,From 2003 to 2009
6,3,30.00%,75.00%,2003,2009,From 2003 to 2009
7,2,20.00%,67.00%,2003,2009,From 2003 to 2009
8,1,10.00%,50.00%,2003,2009,From 2003 to 2009
1,10,100.00%,100.00%,1991,2002,From 1991 to 2002
2,6,60.00%,60.00%,1991,2002,From 1991 to 2002
3,4,40.00%,67.00%,1991,2002,From 1991 to 2002
4,3,30.00%,75.00%,1991,2002,From 1991 to 2002
5,2,20.00%,67.00%,1991,2002,From 1991 to 2002
6,1,10.00%,50.00%,1991,2002,From 1991 to 2002
1,9,100.00%,100.00%,1961,1990,From 1961 to 1990
2,6,67.00%,67.00%,1961,1990,From 1961 to 1990
3,4,44.00%,67.00%,1961,1990,From 1961 to 1990
4,3,33.00%,75.00%,1961,1990,From 1961 to 1990
5,2,22.00%,67.00%,1961,1990,From 1961 to 1990
6,1,11.00%,50.00%,1961,1990,From 1961 to 1990
1,8,100.00%,100.00%,1960,1960,From 1960 to 1960
2,6,75.00%,75.00%,1960,1960,From 1960 to 1960
3,4,50.00%,67.00%,1960,1960,From 1960 to 1960
4,3,38.00%,75.00%,1960,1960,From 1960 to 1960
5,2,25.00%,67.00%,1960,1960,From 1960 to 1960
6,1,13.00%,50.00%,1960,1960,From 1960 to 1960
1,8,100.00%,100.00%,1950,1959,From 1950 to 1959
2,6,75.00%,75.00%,1950,1959,From 1950 to 1959
3,4,50.00%,67.00%,1950,1959,From 1950 to 1959
4,3,38.00%,75.00%,1950,1959,From 1950 to 1959
5,2,25.00%,67.00%,1950,1959,From 1950 to 1959
